iter	Passed	Remaining
0	93	187083
1	185	185612
2	294	196224
3	370	184691
4	463	184764
5	568	188910
6	651	185411
7	744	185318
8	837	185274
9	950	189237
10	1044	188917
11	1134	187951
12	1223	187046
13	1322	187535
14	1436	190077
15	1525	189141
16	1642	191555
17	1734	190966
18	1835	191414
19	1945	192577
20	2074	195519
21	2168	194940
22	2286	196564
23	2421	199395
24	2546	201180
25	2662	202116
26	2774	202742
27	2885	203212
28	2988	203099
29	3091	203022
30	3210	203928
31	3321	204280
32	3442	205212
33	3555	205581
34	3660	205522
35	3758	205047
36	3851	204343
37	3960	204471
38	4070	204673
39	4176	204632
40	4274	204244
41	4377	204051
42	4473	203612
43	4579	203599
44	4681	203370
45	4783	203175
46	4867	202250
47	4976	202371
48	5072	201959
49	5184	202213
50	5287	202060
51	5381	201606
52	5475	201132
53	5569	200698
54	5672	200617
55	5756	199828
56	5842	199165
57	5966	199767
58	6065	199539
59	6160	199193
60	6265	199149
61	6378	199372
62	6418	197348
63	6533	197646
64	6651	198007
65	6704	196465
66	6795	196052
67	6881	195521
68	6943	194320
69	7035	193979
70	7127	193647
71	7184	192396
72	7255	191519
73	7354	191404
74	7450	191240
75	7547	191078
76	7659	191277
77	7757	191155
78	7818	190114
79	7927	190264
80	8029	190224
81	8116	189857
82	8159	188465
83	8246	188102
84	8279	186541
85	8356	185976
86	8454	185906
87	8547	185715
88	8636	185441
89	8678	184175
90	8767	183933
91	8865	183863
92	8976	184072
93	9070	183925
94	9173	183959
95	9265	183771
96	9393	184287
97	9533	185027
98	9642	185152
99	9757	185392
100	9884	185856
101	9993	185955
102	10094	185908
103	10214	186211
104	10325	186359
105	10427	186323
106	10533	186353
107	10638	186374
108	10752	186533
109	10852	186464
110	10944	186248
